Species,Colony_Num,AntNum_5min_Control,AntNum_5min_Upstream,AntNum_5min_Downstream,Upstream/Control,Downstream/Control,Difference
Guazuma_ulmifolia,1,14,7,13,0.5,0.9285714286,0.4285714286
Guazuma_ulmifolia,2,4,7,6,1.75,1.5,-0.25
Guazuma_ulmifolia,3,21,7,7,0.3333333333,0.3333333333,0
Guazuma_ulmifolia,4,32,27,28,0.84375,0.875,0.03125
Guazuma_ulmifolia,5,23,29,2,1.2608695652,0.0869565217,-1.173913043
Guazuma_ulmifolia,6,30,25,15,0.8333333333,0.5,-0.333333333
Guazuma_ulmifolia,7,38,44,40,1.1578947368,1.0526315789,-0.105263158
Guazuma_ulmifolia,8,22,34,40,1.5454545455,1.8181818182,0.2727272727
Guazuma_ulmifolia,9,19,22,30,1.1578947368,1.5789473684,0.4210526316
Guazuma_ulmifolia,10,7,3,4,0.4285714286,0.5714285714,0.1428571429
Guazuma_ulmifolia,11,40,24,38,0.6,0.95,0.35
Guazuma_ulmifolia,12,9,10,13,1.1111111111,1.4444444444,0.3333333333
Guazuma_ulmifolia,13,29,13,26,0.4482758621,0.8965517241,0.4482758621
Guazuma_ulmifolia,14,20,14,18,0.7,0.9,0.2
Guazuma_ulmifolia,15,13,13,14,1,1.0769230769,0.0769230769
Guazuma_ulmifolia,16,18,12,17,0.6666666667,0.9444444444,0.2777777778
Guazuma_ulmifolia,17,7,15,14,2.1428571429,2,-0.142857143
Guazuma_ulmifolia,18,9,11,13,1.2222222222,1.4444444444,0.2222222222
Guazuma_ulmifolia,19,13,7,21,0.5384615385,1.6153846154,1.0769230769
Guazuma_ulmifolia,20,6,4,8,0.6666666667,1.3333333333,0.6666666667
Malvaviscus_arboreus,1,28,37,46,1.3214285714,1.6428571429,0.3214285714
Malvaviscus_arboreus,2,14,12,24,0.8571428571,1.7142857143,0.8571428571
Malvaviscus_arboreus,3,36,26,31,0.7222222222,0.8611111111,0.1388888889
Malvaviscus_arboreus,4,18,9,13,0.5,0.7222222222,0.2222222222
Malvaviscus_arboreus,5,3,2,8,0.6666666667,2.6666666667,2
Malvaviscus_arboreus,6,13,12,12,0.9230769231,0.9230769231,0
Malvaviscus_arboreus,7,13,30,28,2.3076923077,2.1538461538,-0.153846154
Malvaviscus_arboreus,8,6,11,21,1.8333333333,3.5,1.6666666667
Malvaviscus_arboreus,9,54,22,46,0.4074074074,0.8518518519,0.4444444444
Malvaviscus_arboreus,10,28,32,34,1.1428571429,1.2142857143,0.0714285714
Malvaviscus_arboreus,11,48,63,65,1.3125,1.3541666667,0.0416666667
Malvaviscus_arboreus,12,11,19,17,1.7272727273,1.5454545455,-0.181818182
Malvaviscus_arboreus,13,18,47,14,2.6111111111,0.7777777778,-1.833333333
Malvaviscus_arboreus,14,18,55,45,3.0555555556,2.5,-0.555555556
Malvaviscus_arboreus,15,14,5,25,0.3571428571,1.7857142857,1.4285714286
Malvaviscus_arboreus,16,7,1,3,0.1428571429,0.4285714286,0.2857142857
Malvaviscus_arboreus,17,72,60,64,0.8333333333,0.8888888889,0.0555555556
Malvaviscus_arboreus,18,56,41,50,0.7321428571,0.8928571429,0.1607142857
Malvaviscus_arboreus,19,11,14,10,1.2727272727,0.9090909091,-0.363636364
Malvaviscus_arboreus,20,4,4,10,1,2.5,1.5
Vachellia_collinsii,1,16,14,22,0.875,1.375,0.5
Vachellia_collinsii,2,36,15,24,0.4166666667,0.6666666667,0.25
Vachellia_collinsii,3,17,4,12,0.2352941176,0.7058823529,0.4705882353
Vachellia_collinsii,4,18,5,14,0.2777777778,0.7777777778,0.5
Vachellia_collinsii,5,3,1,14,0.3333333333,4.6666666667,4.3333333333
Vachellia_collinsii,6,6,2,4,0.3333333333,0.6666666667,0.3333333333
Vachellia_collinsii,7,8,6,14,0.75,1.75,1
Vachellia_collinsii,8,18,24,16,1.3333333333,0.8888888889,-0.444444444
Vachellia_collinsii,9,22,16,24,0.7272727273,1.0909090909,0.3636363636
Vachellia_collinsii,10,7,2,6,0.2857142857,0.8571428571,0.5714285714
Vachellia_collinsii,11,10,8,12,0.8,1.2,0.4
Vachellia_collinsii,12,8,4,6,0.5,0.75,0.25
Vachellia_collinsii,13,26,22,24,0.8461538462,0.9230769231,0.0769230769
Vachellia_collinsii,14,21,5,14,0.2380952381,0.6666666667,0.4285714286
Vachellia_collinsii,15,17,8,12,0.4705882353,0.7058823529,0.2352941176
Vachellia_collinsii,16,4,2,10,0.5,2.5,2
Vachellia_collinsii,17,10,3,5,0.3,0.5,0.2
Vachellia_collinsii,18,5,6,12,1.2,2.4,1.2
Vachellia_collinsii,19,7,1,1,0.1428571429,0.1428571429,0
Vachellia_collinsii,20,38,8,29,0.2105263158,0.7631578947,0.5526315789
