Sample No.,Sample Location,Position,A405 (Sample),A405 (Negative Control),% Inhibition of Color
1,NEGATIVE CONTROL,n/a,2.036,2.001,-1.749125437
2,NEGATIVE CONTROL,n/a,1.966,2.001,1.749125437
3,POSITIVE CONTROL,n/a,0.189,2.001,90.55472264
4,POSITIVE CONTROL,n/a,0.192,2.001,90.4047976
5,BAGATZI,UPSTREAM,1.984,2.001,0.849575212
6,BAGATZI,UPSTREAM,2.117,2.001,-5.797101449
7,BAGATZI,DOWNSTREAM,0.291,2.001,85.45727136
8,BAGATZI,DOWNSTREAM,0.209,2.001,89.55522239
9,BAGATZI,DOWNSTREAM,1.896,2.001,5.247376312
10,BAGATZI,DOWNSTREAM,1.857,2.001,7.196401799
11,FALCONEANA,UPSTREAM,2.064,2.001,-3.148425787
12,FALCONEANA,UPSTREAM,2.162,2.001,-8.045977011
13,FALCONEANA,DOWNSTREAM,2.161,2.001,-7.996001999
14,FALCONEANA,DOWNSTREAM,2.122,2.001,-6.046976512
15,FALCONEANA,DOWNSTREAM,2.069,2.001,-3.39830085
16,FALCONEANA,DOWNSTREAM,2.049,2.001,-2.3988006
