Block,Sample_no,Site,Position,Date,DBH_cm,AntRes_1min,NumSpines_distal60cm,DiamLargestSpine_mm,Leaf1_Rachis_cm,Leaf1_NumEFN,Leaf1_LengthEFN_mm,Leaf2_Rachis_cm,Leaf2_NumEFN,Leaf2_LengthEFN_mm,Leaf3_Rachis_cm,Leaf3_NumEFN,Leaf3_LengthEFN_mm,Mean_Rachis_cm,Mean_LengthEFN_mm,log_AntRes,DBH_rel_to_median
B1,1,BAGATZI,UPSTREAM,1/27/13,3.9,15,25,8,7.2,3,6.9,6.5,3,5.2,4.6,1,2.4,6.1,4.833333333,2.708050201,Above
B1,2,BAGATZI,UPSTREAM,1/27/13,0.9,67,32,10,9.55,3,5,7.4,2,3.9,7,2,3.2,7.983333333,4.033333333,4.204692619,Below
B1,3,BAGATZI,UPSTREAM,1/27/13,2.4,105,18,6.5,9.4,3,5.9,6.3,2,3.1,5.7,1,2.1,7.133333333,3.7,4.65396035,Above
B1,4,BAGATZI,UPSTREAM,1/27/13,1,32,16,5,12.4,4,6.7,8.2,2,4.2,6.9,2,3,9.166666667,4.633333333,3.465735903,Below
B1,5,BAGATZI,UPSTREAM,1/27/13,2.6,65,26,5,7.5,2,4.8,7.3,2,3.7,6.05,1,2.3,6.95,3.6,4.17438727,Above
B1,6,BAGATZI,UPSTREAM,1/27/13,1.1,73,22,5.5,6,2,2.6,5.7,2,2.7,6.45,3,3.3,6.05,2.866666667,4.290459441,Below
B1,7,BAGATZI,UPSTREAM,1/27/13,2.8,36,14,4,11.8,3,4.95,8.8,3,4.3,2.8,1,1.9,7.8,3.716666667,3.583518939,Above
B1,8,BAGATZI,UPSTREAM,1/27/13,1.4,57,20,7.5,13.6,3,6,5.95,1,2.4,3.9,1,1.9,7.816666667,3.433333333,4.043051268,Below
B1,9,BAGATZI,UPSTREAM,1/27/13,0.35,78,17,11,9.9,3,3.7,9.3,3,3.3,6.9,2,2.3,8.7,3.1,4.356708827,Below
B1,10,BAGATZI,UPSTREAM,1/27/13,0.25,4,22,6,7.3,2,2.5,5.6,3,3.2,4.7,3,3.1,5.866666667,2.933333333,1.386294361,Below
B2,1,BAGATZI,UPSTREAM,1/27/13,0.2,44,26,11,11.8,3,3.8,9.1,4,5.1,7.4,2,2.6,9.433333333,3.833333333,3.784189634,Below
B2,2,BAGATZI,UPSTREAM,1/27/13,1.9,24,22,7,6.2,2,3.4,6.4,2,2.3,4,2,2.9,5.533333333,2.866666667,3.17805383,Below
B2,3,BAGATZI,UPSTREAM,1/27/13,4.4,10,16,8,7.3,3,3.6,7.95,3,6.5,7.6,3,4.3,7.616666667,4.8,2.302585093,Above
B2,4,BAGATZI,UPSTREAM,1/27/13,1.4,55,16,6,12.9,2,4.6,11.2,3,4.5,2.4,1,1.3,8.833333333,3.466666667,4.007333185,Below
B2,5,BAGATZI,UPSTREAM,1/27/13,3.4,106,24,7,15.9,3,6.1,10.7,1,2.6,5.9,1,2.2,10.83333333,3.633333333,4.663439094,Above
B2,6,BAGATZI,UPSTREAM,1/27/13,1.6,90,16,9,10.55,3,4.4,4.7,1,2.1,5.5,1,1.7,6.916666667,2.733333333,4.49980967,Below
B2,7,BAGATZI,UPSTREAM,1/27/13,2.3,34,17,8,17.7,3,5.8,13.6,3,4.3,8.6,1,2.1,13.3,4.066666667,3.526360525,Above
B2,8,BAGATZI,UPSTREAM,1/27/13,0.35,94,21,6.5,17.2,4,5,16.4,3,4.1,11.7,4,5.1,15.1,4.733333333,4.543294782,Below
B2,9,BAGATZI,UPSTREAM,1/27/13,1.5,23,28,10,11.7,3,4.8,7.5,3,4.3,2,1,2.1,7.066666667,3.733333333,3.135494216,Below
B2,10,BAGATZI,UPSTREAM,1/27/13,0.8,68,24,8,10.8,2,4.2,5.8,2,3.7,3.25,1,2.3,6.616666667,3.4,4.219507705,Below
B3,1,BAGATZI,UPSTREAM,1/27/13,0.65,49,14,9,11.5,3,4.2,8.2,3,3.5,1.3,3,4,7,3.9,3.891820298,Below
B3,2,BAGATZI,UPSTREAM,1/27/13,1.6,68,23,8,10.5,3,3.7,6.7,4,4.7,5.1,3,2.2,7.433333333,3.533333333,4.219507705,Below
B3,3,BAGATZI,UPSTREAM,1/27/13,0.5,109,32,7,6.5,3,4.1,6.3,3,4.2,5.7,3,3.4,6.166666667,3.9,4.691347882,Below
B3,4,BAGATZI,UPSTREAM,1/27/13,2.3,9,18,4,13.3,3,4.1,6.6,1,1.6,3.3,1,1.7,7.733333333,2.466666667,2.197224577,Above
B3,5,BAGATZI,UPSTREAM,1/27/13,2.4,99,16,8,12.9,3,3.4,8.4,2,3.3,7,1,2.3,9.433333333,3,4.59511985,Above
B3,6,BAGATZI,UPSTREAM,1/20/13,1.97,51,28,9,15.7,3,4.2,11.15,3,4.2,9.7,3,4,12.18333333,4.133333333,3.931825633,Below
B3,7,BAGATZI,UPSTREAM,1/20/13,0.9,21,36,6.5,5.3,3,3.7,5,2,1.8,3.3,2,2.8,4.533333333,2.766666667,3.044522438,Below
B3,8,BAGATZI,UPSTREAM,1/20/13,0.8,54,32,6,11.5,3,3.4,10.7,3,4.8,7.8,3,4,10,4.066666667,3.988984047,Below
B3,9,BAGATZI,UPSTREAM,1/20/13,6.21,9,18,7.5,14.5,2,6.5,7.8,3,6.1,6.9,2,3.1,9.733333333,5.233333333,2.197224577,Above
B3,10,BAGATZI,UPSTREAM,1/20/13,0.5,38,25,9,12.8,3,3.7,10.75,2,3.3,8.35,3,4.9,10.63333333,3.966666667,3.63758616,Below
