Block,Sample_Num,Site,Date,Position,DBH (cm),Mean_Rachis_cm,Num_Leaflets,Total_Dam_Leaflets,Total_Undamaged_Leaflets,Proportion_Damaged_Leaflets
B1,1,BAGATZI,1/27/13,UPSTREAM,3.9,6.1,163,35,128,0.214723926
B1,2,BAGATZI,1/27/13,UPSTREAM,0.9,7.983333333,216,33,183,0.152777778
B1,3,BAGATZI,1/27/13,UPSTREAM,2.4,7.133333333,220,25,195,0.113636364
B1,4,BAGATZI,1/27/13,UPSTREAM,1,9.166666667,236,17,219,0.072033898
B1,5,BAGATZI,1/27/13,UPSTREAM,2.6,6.95,107,25,82,0.23364486
B1,6,BAGATZI,1/27/13,UPSTREAM,1.1,6.05,154,12,142,0.077922078
B1,7,BAGATZI,1/27/13,UPSTREAM,2.8,7.8,268,123,145,0.458955224
B1,8,BAGATZI,1/27/13,UPSTREAM,1.4,7.816666667,69,11,58,0.15942029
B1,9,BAGATZI,1/27/13,UPSTREAM,0.35,8.7,107,4,103,0.037383178
B1,10,BAGATZI,1/27/13,UPSTREAM,0.25,5.866666667,,,,
B2,1,BAGATZI,1/27/13,UPSTREAM,0.2,9.433333333,132,7,125,0.053030303
B2,2,BAGATZI,1/27/13,UPSTREAM,1.9,5.533333333,93,3,90,0.032258065
B2,3,BAGATZI,1/27/13,UPSTREAM,4.4,7.616666667,226,34,192,0.150442478
B2,4,BAGATZI,1/27/13,UPSTREAM,1.4,8.833333333,226,100,126,0.442477876
B2,5,BAGATZI,1/27/13,UPSTREAM,3.4,10.83333333,241,130,111,0.539419087
B2,6,BAGATZI,1/27/13,UPSTREAM,1.6,6.916666667,111,51,60,0.45945946
B2,7,BAGATZI,1/27/13,UPSTREAM,2.3,13.3,340,43,297,0.126470588
B2,8,BAGATZI,1/27/13,UPSTREAM,0.35,15.1,396,20,376,0.050505051
B2,9,BAGATZI,1/27/13,UPSTREAM,1.5,7.066666667,205,11,194,0.053658537
B2,10,BAGATZI,1/27/13,UPSTREAM,0.8,6.616666667,80,0,80,0
B3,1,BAGATZI,1/27/13,UPSTREAM,0.65,7,191,24,167,0.12565445
B3,2,BAGATZI,1/27/13,UPSTREAM,1.6,7.433333333,114,6,108,0.052631579
B3,3,BAGATZI,1/27/13,UPSTREAM,0.5,6.166666667,,,,
B3,4,BAGATZI,1/27/13,UPSTREAM,2.3,7.733333333,,,,
B3,5,BAGATZI,1/27/13,UPSTREAM,2.4,9.433333333,95,8,87,0.084210526
B3,6,BAGATZI,1/20/13,UPSTREAM,1.97,12.18333333,,,,
B3,7,BAGATZI,1/20/13,UPSTREAM,0.9,4.533333333,,,,
